id_recipe,name_recipe,image,type,status,summary,ingredients
1,Grilled Chicken Salad,https://example.com/images/grilled-chicken-salad.jpg,Main,"published,featured",Grilled chicken with vegetable and avocado and sauce,"[{'id_ingredient': 1, 'name_ingredient': 'Chicken Breast'}, {'id_ingredient': 2, 'name_ingredient': 'Lettuce'}]"
2,Chicken Caesar Salad,https://example.com/images/chicken-caesar-salad.jpg,Main,published,Chicken Caesar Salad,"[{'id_ingredient': 1, 'name_ingredient': 'Chicken Breast', 'quantity': 150, 'unit': 'g', 'image': 'https://example.com/images/chicken-breast.jpg'}, {'id_ingredient': 2, 'name_ingredient': 'Romaine Lettuce', 'quantity': 100, 'unit': 'g', 'image': 'https://example.com/images/romaine-lettuce.jpg'}]"
3,Pasta Salad with Grilled Vegetables,https://example.com/images/pasta-salad.jpg,Main,published,A refreshing pasta salad with assorted grilled vegetables,"[{'id_ingredient': 3, 'name_ingredient': 'Pasta', 'quantity': 200, 'unit': 'g'}, {'id_ingredient': 4, 'name_ingredient': 'Bell Pepper', 'quantity': 50, 'unit': 'g'}]"
4,Tomato Basil Soup,https://example.com/images/tomato-basil-soup.jpg,Appetizer,published,Smooth tomato soup with fresh basil,"[{'id_ingredient': 5, 'name_ingredient': 'Tomatoes', 'quantity': 300, 'unit': 'g'}, {'id_ingredient': 6, 'name_ingredient': 'Basil', 'quantity': 5, 'unit': 'g'}]"
5,Classic Beef Stew,https://example.com/images/beef-stew.jpg,Main,published,Rich and hearty beef stew with vegetables,"[{'id_ingredient': 7, 'name_ingredient': 'Beef', 'quantity': 250, 'unit': 'g'}, {'id_ingredient': 8, 'name_ingredient': 'Carrots', 'quantity': 100, 'unit': 'g'}]"
6,Avocado Toast,https://example.com/images/avocado-toast.jpg,Breakfast,published,Sliced avocado on toasted bread,"[{'id_ingredient': 9, 'name_ingredient': 'Avocado', 'quantity': 1, 'unit': 'whole'}, {'id_ingredient': 10, 'name_ingredient': 'Bread', 'quantity': 2, 'unit': 'slices'}]"
7,Cauliflower Rice,https://example.com/images/cauliflower-rice.jpg,Side,published,Low-carb cauliflower rice with herbs,"[{'id_ingredient': 11, 'name_ingredient': 'Cauliflower', 'quantity': 200, 'unit': 'g'}, {'id_ingredient': 12, 'name_ingredient': 'Parsley', 'quantity': 5, 'unit': 'g'}]"
8,Mango Smoothie,https://example.com/images/mango-smoothie.jpg,Drink,published,Refreshing mango smoothie,"[{'id_ingredient': 13, 'name_ingredient': 'Mango', 'quantity': 200, 'unit': 'g'}, {'id_ingredient': 14, 'name_ingredient': 'Milk', 'quantity': 150, 'unit': 'ml'}]"
9,Vegetable Stir Fry,https://example.com/images/vegetable-stir-fry.jpg,Main,published,Assorted vegetables stir-fried in garlic sauce,"[{'id_ingredient': 15, 'name_ingredient': 'Broccoli', 'quantity': 100, 'unit': 'g'}, {'id_ingredient': 16, 'name_ingredient': 'Carrot', 'quantity': 50, 'unit': 'g'}]"
10,Berry Parfait,https://example.com/images/berry-parfait.jpg,Dessert,published,Layered yogurt and mixed berries,"[{'id_ingredient': 17, 'name_ingredient': 'Yogurt', 'quantity': 150, 'unit': 'g'}, {'id_ingredient': 18, 'name_ingredient': 'Mixed Berries', 'quantity': 100, 'unit': 'g'}]"
11,Chicken Tacos,https://example.com/images/chicken-tacos.jpg,Main,published,Soft tacos filled with seasoned chicken and toppings,"[{'id_ingredient': 19, 'name_ingredient': 'Chicken', 'quantity': 150, 'unit': 'g'}, {'id_ingredient': 20, 'name_ingredient': 'Taco Shells', 'quantity': 3, 'unit': 'pieces'}]"
12,Veggie Wrap,https://example.com/images/veggie-wrap.jpg,Main,published,Whole wheat wrap filled with fresh vegetables,"[{'id_ingredient': 21, 'name_ingredient': 'Whole Wheat Wrap', 'quantity': 1, 'unit': 'piece'}, {'id_ingredient': 22, 'name_ingredient': 'Vegetables', 'quantity': 100, 'unit': 'g'}]"
13,Fruit Salad,https://example.com/images/fruit-salad.jpg,Dessert,published,Mixed fruit salad with honey dressing,"[{'id_ingredient': 23, 'name_ingredient': 'Mixed Fruits', 'quantity': 200, 'unit': 'g'}, {'id_ingredient': 24, 'name_ingredient': 'Honey', 'quantity': 20, 'unit': 'ml'}]"
